100012061,1,1,1,0
100053304,7,7,6,35
100057229,5,5,4,41
100070732,7,7,4,283
100096071,38,38,21,698
100168166,1,1,1,10
100208126,1,1,1,21
100267049,1,1,1,15
100311267,95,95,58,240
100322840,2,2,2,366
100351493,30,30,23,165
100353577,1,1,1,57
100359523,7,7,6,293
100412579,1,1,1,2
100431715,14,14,8,25
100444456,6,6,6,63
100478352,1,1,1,37
100519466,54,54,34,3573
100607499,2,2,1,2
100616360,1,1,1,1
100630947,10,10,6,10852
10064100,4,4,2,1
100642975,5,5,0,0
1006880,8,8,0,0
100719181,59,59,22,552
100728962,1,1,1,73
100741663,29,29,14,65
100767560,1,1,1,11
100769089,17,17,16,251
100813586,2,2,1,2
100818860,12,12,8,44
100833937,5,5,5,142
100894366,88,88,26,976
100895530,1,1,1,0
100916842,6,6,3,131
100942835,1,1,1,1412
100944287,1,1,1,0
10095386,4,4,1,34
100993239,30,30,16,261
101000574,20,20,17,395
101022115,1,1,1,53
101030173,1,1,1,4
101040836,1,1,0,0
101122584,1,1,1,2
101138714,1,1,1,0
101142088,51,51,20,829
101212067,19,19,12,1273
101240143,1,1,1,0
101248210,2,2,2,797
101304417,1,1,1,13
101315169,1,1,1,3
101339059,61,59,29,4471
101355301,1,1,1,0
101369449,3,3,3,406
101395260,2,2,2,236
101399037,1,1,0,0
101414179,1,1,1,5982
10144413,7,7,0,0
10144504,8,8,3,5
101447015,2,2,2,1486
101487265,3,3,3,2695
101507558,3,3,2,251
101508611,2,2,2,0
101529420,12,12,11,276
101530848,36,36,31,952
101552080,3,3,3,241
101596530,87,87,77,5212
101597552,2,2,1,34
101602586,68,68,30,1449
10162301,38,37,22,374
101638181,1,1,1,4
101641872,1,1,1,1
101655571,1,1,1,1
101656933,11,11,10,596
101687527,80,80,65,1841
101690993,172,171,75,1697
101695880,88,88,61,2443
101719689,6,6,1,49
101725007,31,31,24,843
101731521,7,7,4,15
101756948,1,1,1,7
101774264,1,1,1,6
101777615,1,1,1,0
101777863,1,1,1,37
101803777,20,20,2,1224
101809411,1,1,1,0
10181060,11,11,8,43
101826973,1,1,1,89
101827664,2,2,1,0
101865671,3,3,0,0
101878879,106,106,25,1060
101892097,1,1,1,0
101897182,2,2,2,47
101902528,1,1,1,0
102016550,33,33,24,382
102048000,1,1,1,9
102066849,1,0,0,0
102111851,15,15,10,2380
102154135,3,3,2,66
10216256,12,12,1,2
102175618,1,1,1,0
10218563,82,82,40,2012
102219798,1,1,1,0
102244595,1,1,1,3
102254281,1,1,1,6
102257546,1,1,0,0
102263723,49,49,38,2379
102268574,24,24,11,478
102270213,18,18,15,240
102295765,42,42,25,1742
102322335,1,1,1,149
102327684,1,1,1,1
102343357,1,1,1,3
102348964,1,0,0,0
102376253,1,1,1,4785
1024319,8,8,1,12
102454403,13,13,4,304
102465357,2,2,2,39
102494404,1,1,0,0
10253354,228,225,130,2556
102539470,3,3,3,58
102540721,1,1,1,4
102543268,1,1,1,12
102552233,27,27,15,191
102606653,1,1,1,679
10262121,6,6,0,0
102623516,2,2,1,2
10267553,4,4,0,0
102687513,17,17,2,592
102740003,1,1,1,45
102796492,1,1,1,3
102799966,1,1,1,0
102825821,136,136,79,1146
102831764,2,2,2,401
102834895,1,1,1,1
102836023,2,2,2,860
102838001,1,1,1,28
102866858,1,1,1,36
102921672,44,43,14,86
102927775,20,20,18,372
102949215,1,1,1,19
102950472,3,3,3,104
102971783,1,1,1,737
102988032,1,0,0,0
103012052,1,1,1,1
10302000,42,42,24,4842
103034870,1,1,1,0
103093060,1,1,1,1164
103093573,4,4,4,720
103171339,1,1,1,4
103235293,1,1,1,30
103260848,62,62,58,5403
103326015,1,1,1,18
103360,10,10,0,0
103363050,1,1,1,32
103371488,88,88,22,1159
103373255,1,1,1,31
103411746,6,6,6,16
103445207,47,47,36,3451
103520209,1,1,1,9
103523221,1,1,1,13
103559489,2,2,1,0
103563010,13,12,11,3487
103574570,3,3,2,31
103604903,1,1,1,0
103620349,2,2,2,7
103624897,24,24,20,743
103631407,15,15,5,24
103638409,81,81,61,1348
103649913,7,7,2,7
103669953,3,3,3,4
103690917,16,16,3,25
103691417,1,1,1,40
103705957,1,1,1,3
103729596,1,1,1,240
103731895,79,78,59,1574
103774615,4,4,4,135
103804924,19,19,10,3770
103805799,1,1,1,0
103840115,1,1,1,0
103848468,20,20,8,14
10385370,17,17,7,169
103890656,6,6,1,706
103908321,1,1,1,1
103911620,12,12,11,615
103943711,1,1,1,4
103963922,1,1,1,0
103966604,1,1,1,17
103973922,2,2,2,306
103984034,2,2,2,116
104011576,1,1,1,1
